Producto interno bruto por entidad federativa y tipo de actividad,,,,,,,,,,,,,,,,
Unidad de medida:Millones de pesos a precios de 2013.,,,,,,,,,,,,,,,,
Periodicidad: Anual,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Actividad económica,Entidad,Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015p/,2016
Actividades primarias,Colima ,Colima -Actividades primarias," 4,468 "," 4,605 "," 4,459 "," 4,667 "," 4,866 "," 5,061 "," 4,162 "," 4,511 "," 4,796 "," 4,281 "," 4,400 "," 4,477 "," 4,352 "," 4,568 "
Actividades primarias,Chiapas ,Chiapas -Actividades primarias," 21,940 "," 20,618 "," 18,740 "," 19,720 "," 20,309 "," 19,961 "," 20,027 "," 20,757 "," 20,809 "," 20,576 "," 20,772 "," 19,843 "," 19,690 "," 19,953 "
Actividades primarias,Chihuahua ,Chihuahua -Actividades primarias," 21,365 "," 22,264 "," 22,406 "," 24,745 "," 26,363 "," 24,549 "," 25,321 "," 27,232 "," 25,441 "," 25,775 "," 29,129 "," 31,040 "," 32,793 "," 31,597 "
Actividades primarias,Ciudad de México ,Ciudad de México -Actividades primarias," 1,514 "," 1,364 "," 1,501 "," 1,312 "," 1,293 "," 1,219 "," 1,312 "," 1,296 "," 1,368 "," 1,342 "," 1,196 "," 1,216 "," 1,188 "," 1,214 "
Actividades primarias,Durango ,Durango -Actividades primarias," 17,492 "," 18,053 "," 15,835 "," 17,865 "," 17,451 "," 17,531 "," 18,055 "," 17,428 "," 16,101 "," 18,153 "," 18,811 "," 19,331 "," 18,917 "," 19,257 "
Actividades primarias,Guanajuato ,Guanajuato -Actividades primarias," 21,768 "," 23,299 "," 20,878 "," 20,308 "," 21,992 "," 22,506 "," 22,649 "," 22,062 "," 22,204 "," 21,877 "," 23,507 "," 23,775 "," 23,086 "," 23,715 "
Actividades primarias,Guerrero ,Guerrero -Actividades primarias," 10,983 "," 10,455 "," 10,817 "," 11,489 "," 11,577 "," 12,013 "," 11,609 "," 12,381 "," 12,281 "," 11,827 "," 10,922 "," 12,183 "," 11,438 "," 12,822 "
Actividades primarias,Hidalgo ,Hidalgo -Actividades primarias," 10,033 "," 10,026 "," 9,928 "," 10,950 "," 10,668 "," 10,900 "," 10,097 "," 10,304 "," 9,041 "," 10,407 "," 10,711 "," 10,748 "," 10,545 "," 10,625 "
Actividades primarias,Jalisco ,Jalisco -Actividades primarias," 45,267 "," 48,731 "," 46,694 "," 50,079 "," 53,075 "," 53,142 "," 50,839 "," 55,802 "," 52,704 "," 57,514 "," 57,477 "," 61,029 "," 62,301 "," 64,466 "
Actividades primarias,México ,México -Actividades primarias," 19,513 "," 20,342 "," 17,817 "," 19,393 "," 22,298 "," 20,585 "," 17,579 "," 19,126 "," 16,241 "," 19,621 "," 19,904 "," 20,831 "," 21,389 "," 22,511 "
Actividades primarias,Michoacán de Ocampo ,Michoacán de Ocampo -Actividades primarias," 32,804 "," 30,909 "," 30,183 "," 34,473 "," 36,053 "," 38,699 "," 35,964 "," 33,924 "," 38,108 "," 37,811 "," 39,538 "," 43,874 "," 42,843 "," 49,205 "
Actividades primarias,Morelos ,Morelos -Actividades primarias," 5,113 "," 5,236 "," 5,698 "," 5,725 "," 5,984 "," 5,229 "," 5,615 "," 5,823 "," 5,350 "," 5,223 "," 6,056 "," 5,693 "," 5,384 "," 5,887 "
